sol,t,r
POMCPOW,1.0,92.274469442792
POMCPOW,0.03162277660168379,90.43820750088042
POMCPOW,1.0,93.206534790699
POMCP,0.03162277660168379,91.35172474836408
POMCP,1.0,0.0
POMCPOW,0.01778279410038923,0.0
POMCP,0.5623413251903491,0.0
POMCPOW,0.03162277660168379,95.09900499
POMCPOW,0.5623413251903491,93.206534790699
POMCP,0.1,0.0
POMCP,1.0,96.059601
POMCPOW,0.01778279410038923,0.0
POMCPOW,0.03162277660168379,0.0
POMCPOW,0.03162277660168379,0.0
POMCP,0.01778279410038923,0.0
POMCP,0.5623413251903491,0.0
POMCP,0.5623413251903491,92.274469442792
POMCP,0.5623413251903491,98.00999999999999
POMCPOW,0.01778279410038923,90.43820750088042
POMCPOW,0.056234132519034905,0.0
POMCP,0.01778279410038923,0.0
POMCPOW,0.5623413251903491,89.53382542587163
POMCP,0.01778279410038923,0.0
POMCPOW,0.03162277660168379,90.43820750088042
POMCP,0.056234132519034905,0.0
POMCPOW,1.0,93.206534790699
POMCPOW,0.01778279410038923,89.53382542587163
POMCPOW,0.03162277660168379,0.0
POMCPOW,0.31622776601683794,92.274469442792
POMCPOW,0.17782794100389226,89.53382542587163
POMCP,0.03162277660168379,94.14801494009998
POMCP,0.1,91.35172474836408
POMCPOW,0.056234132519034905,95.09900499
POMCP,1.0,0.0
POMCPOW,0.03162277660168379,91.35172474836408
POMCPOW,0.5623413251903491,90.43820750088042
POMCP,0.03162277660168379,0.0
POMCP,0.17782794100389226,0.0
POMCP,0.1,0.0
POMCPOW,0.17782794100389226,88.63848717161291
POMCPOW,0.31622776601683794,89.53382542587163
POMCPOW,1.0,92.274469442792
POMCP,0.01778279410038923,95.09900499
POMCP,0.1,92.274469442792
POMCPOW,0.17782794100389226,91.35172474836408
POMCP,0.1,0.0
POMCPOW,0.1,90.43820750088042
POMCPOW,0.01778279410038923,0.0
POMCPOW,0.17782794100389226,0.0
POMCPOW,0.31622776601683794,90.43820750088042
POMCPOW,0.01,86.87458127689781
POMCPOW,0.5623413251903491,95.09900499
POMCP,0.01778279410038923,0.0
POMCPOW,0.01778279410038923,0.0
POMCP,0.01,0.0
POMCPOW,0.03162277660168379,0.0
POMCPOW,0.1,0.0
POMCPOW,0.01,0.0
POMCP,0.17782794100389226,0.0
POMCP,0.31622776601683794,0.0
POMCPOW,0.17782794100389226,94.14801494009998
POMCP,0.1,0.0
POMCP,0.1,90.43820750088042
POMCP,0.17782794100389226,0.0
POMCPOW,0.01778279410038923,89.53382542587163
POMCP,0.17782794100389226,0.0
POMCP,0.01,0.0
POMCP,0.1,92.274469442792
POMCPOW,0.17782794100389226,0.0
POMCP,0.01778279410038923,0.0
POMCP,0.31622776601683794,96.059601
POMCP,0.5623413251903491,0.0
POMCP,0.17782794100389226,0.0
POMCP,0.17782794100389226,0.0
POMCPOW,0.056234132519034905,89.53382542587163
POMCPOW,0.17782794100389226,90.43820750088042
POMCP,1.0,0.0
POMCPOW,0.03162277660168379,0.0
POMCPOW,0.17782794100389226,0.0
POMCP,0.03162277660168379,94.14801494009998
POMCP,0.03162277660168379,89.53382542587163
POMCP,0.056234132519034905,0.0
POMCP,0.03162277660168379,0.0
POMCP,0.01778279410038923,0.0
POMCP,1.0,0.0
POMCPOW,0.03162277660168379,0.0
POMCPOW,0.5623413251903491,95.09900499
POMCP,0.01,95.09900499
POMCP,0.03162277660168379,0.0
POMCP,0.31622776601683794,0.0
POMCP,0.31622776601683794,0.0
POMCPOW,0.01,0.0
POMCPOW,0.03162277660168379,94.14801494009998
POMCPOW,0.17782794100389226,87.75210229989679
POMCP,0.31622776601683794,93.206534790699
POMCP,0.056234132519034905,0.0
POMCPOW,0.17782794100389226,93.206534790699
POMCP,1.0,0.0
POMCPOW,0.1,0.0
POMCP,0.03162277660168379,0.0
POMCPOW,0.056234132519034905,92.274469442792
POMCPOW,0.056234132519034905,91.35172474836408
POMCPOW,0.01,0.0
POMCP,0.17782794100389226,0.0
POMCP,0.01778279410038923,90.43820750088042
POMCP,0.5623413251903491,0.0
POMCP,0.17782794100389226,0.0
POMCPOW,0.01,89.53382542587163
POMCP,0.5623413251903491,0.0
POMCP,0.056234132519034905,0.0
POMCP,0.01,93.206534790699
POMCPOW,0.17782794100389226,93.206534790699
POMCP,0.01778279410038923,0.0
POMCPOW,0.17782794100389226,93.206534790699
POMCP,0.1,95.09900499
POMCPOW,0.01778279410038923,0.0
POMCP,0.03162277660168379,0.0
POMCP,0.03162277660168379,0.0
POMCPOW,0.056234132519034905,93.206534790699
POMCP,0.31622776601683794,0.0
POMCP,0.01778279410038923,0.0
POMCP,0.056234132519034905,0.0
POMCPOW,0.1,0.0
POMCP,0.03162277660168379,0.0
POMCP,0.1,0.0
POMCPOW,0.1,0.0
POMCP,0.056234132519034905,0.0
POMCP,0.17782794100389226,0.0
POMCPOW,0.03162277660168379,0.0
POMCP,1.0,92.274469442792
POMCPOW,0.31622776601683794,90.43820750088042
POMCP,0.1,90.43820750088042
POMCP,0.01778279410038923,93.206534790699
POMCP,0.17782794100389226,0.0
POMCP,0.1,0.0
POMCP,0.01778279410038923,0.0
POMCPOW,0.31622776601683794,0.0
POMCP,0.056234132519034905,0.0
POMCPOW,0.31622776601683794,91.35172474836408
POMCP,0.01778279410038923,96.059601
POMCPOW,0.01778279410038923,93.206534790699
POMCP,1.0,87.75210229989679
POMCP,0.17782794100389226,0.0
POMCPOW,0.1,0.0
POMCP,0.01778279410038923,91.35172474836408
POMCP,1.0,0.0
POMCP,0.03162277660168379,0.0
POMCP,0.17782794100389226,0.0
POMCPOW,0.31622776601683794,91.35172474836408
POMCP,0.01778279410038923,96.059601
POMCPOW,0.056234132519034905,95.09900499
POMCP,0.01,0.0
POMCP,1.0,0.0
POMCPOW,0.01778279410038923,94.14801494009998
POMCP,1.0,94.14801494009998
POMCP,0.056234132519034905,95.09900499
POMCP,0.1,0.0
POMCPOW,1.0,94.14801494009998
POMCPOW,0.01778279410038923,0.0
POMCPOW,0.03162277660168379,0.0
POMCPOW,0.5623413251903491,0.0
POMCPOW,0.31622776601683794,92.274469442792
POMCP,0.5623413251903491,0.0
POMCP,0.17782794100389226,0.0
POMCP,1.0,0.0
POMCPOW,0.17782794100389226,93.206534790699
POMCP,0.5623413251903491,0.0
POMCP,0.056234132519034905,95.09900499
POMCP,0.17782794100389226,0.0
POMCP,0.03162277660168379,0.0
POMCP,0.31622776601683794,0.0
POMCP,0.03162277660168379,0.0
POMCP,0.03162277660168379,0.0
POMCP,1.0,0.0
POMCP,0.056234132519034905,0.0
POMCP,1.0,0.0
POMCPOW,0.01778279410038923,93.206534790699
POMCPOW,0.056234132519034905,0.0
POMCPOW,0.01778279410038923,93.206534790699
POMCPOW,0.1,91.35172474836408
POMCP,0.01778279410038923,0.0
POMCP,0.17782794100389226,0.0
POMCP,0.5623413251903491,0.0
POMCP,0.03162277660168379,0.0
POMCP,0.31622776601683794,0.0
POMCP,0.17782794100389226,94.14801494009998
POMCPOW,0.056234132519034905,95.09900499
POMCP,0.056234132519034905,0.0
POMCP,0.1,0.0
POMCPOW,0.1,0.0
POMCPOW,0.31622776601683794,94.14801494009998
POMCP,0.01,0.0
POMCP,0.1,0.0
POMCPOW,1.0,91.35172474836408
POMCP,0.31622776601683794,0.0
POMCP,0.056234132519034905,0.0
POMCP,0.03162277660168379,0.0
POMCPOW,0.17782794100389226,0.0
POMCPOW,0.03162277660168379,0.0
POMCPOW,0.31622776601683794,94.14801494009998
POMCP,0.01778279410038923,87.75210229989679
POMCP,0.5623413251903491,0.0
POMCPOW,0.01,0.0
POMCP,0.056234132519034905,0.0
POMCP,0.01778279410038923,94.14801494009998
POMCPOW,1.0,94.14801494009998
POMCP,0.5623413251903491,93.206534790699
POMCPOW,0.03162277660168379,93.206534790699
POMCP,0.1,0.0
POMCP,0.5623413251903491,0.0
POMCPOW,0.01,0.0
POMCPOW,0.01778279410038923,95.09900499
POMCP,0.01,96.059601
POMCP,0.1,0.0
POMCPOW,0.01778279410038923,92.274469442792
POMCPOW,0.01778279410038923,89.53382542587163
POMCPOW,0.01,0.0
POMCPOW,0.056234132519034905,0.0
POMCP,0.31622776601683794,0.0
POMCPOW,0.056234132519034905,94.14801494009998
POMCP,0.1,95.09900499
POMCP,0.01778279410038923,95.09900499
POMCPOW,0.5623413251903491,0.0
POMCP,0.17782794100389226,96.059601
POMCPOW,0.1,92.274469442792
POMCPOW,0.056234132519034905,91.35172474836408
POMCPOW,0.17782794100389226,0.0
POMCP,0.1,0.0
POMCP,0.01,92.274469442792
POMCP,1.0,0.0
POMCP,0.1,94.14801494009998
POMCP,0.056234132519034905,0.0
POMCPOW,1.0,94.14801494009998
POMCP,0.5623413251903491,0.0
POMCP,0.03162277660168379,0.0
POMCPOW,0.056234132519034905,0.0
POMCPOW,0.01778279410038923,90.43820750088042
POMCP,0.5623413251903491,0.0
POMCPOW,0.31622776601683794,0.0
POMCPOW,0.01778279410038923,89.53382542587163
POMCPOW,0.056234132519034905,0.0
POMCP,0.01778279410038923,92.274469442792
POMCPOW,0.1,94.14801494009998
POMCP,0.5623413251903491,0.0
POMCPOW,1.0,0.0
POMCP,0.056234132519034905,0.0
POMCPOW,0.01778279410038923,0.0
POMCP,0.5623413251903491,95.09900499
POMCP,0.1,97.0299
POMCP,0.31622776601683794,0.0
POMCP,0.056234132519034905,0.0
POMCPOW,0.17782794100389226,92.274469442792
POMCPOW,0.5623413251903491,0.0
POMCPOW,0.5623413251903491,0.0
POMCP,0.5623413251903491,95.09900499
POMCP,0.17782794100389226,0.0
POMCPOW,0.17782794100389226,0.0
POMCP,0.056234132519034905,91.35172474836408
POMCP,0.1,97.0299
POMCP,0.03162277660168379,95.09900499
POMCP,0.01,0.0
POMCP,0.1,0.0
POMCPOW,0.01,0.0
POMCP,0.01778279410038923,97.0299
POMCPOW,0.01778279410038923,0.0
POMCP,0.31622776601683794,0.0
POMCPOW,0.01778279410038923,89.53382542587163
POMCPOW,1.0,89.53382542587163
POMCP,0.01778279410038923,0.0
POMCPOW,0.1,95.09900499
POMCP,0.31622776601683794,0.0
POMCPOW,0.17782794100389226,0.0
POMCPOW,1.0,0.0
POMCP,0.03162277660168379,0.0
POMCPOW,0.5623413251903491,91.35172474836408
POMCP,0.056234132519034905,0.0
POMCPOW,0.5623413251903491,90.43820750088042
POMCPOW,0.03162277660168379,0.0
POMCP,0.1,89.53382542587163
POMCPOW,0.17782794100389226,91.35172474836408
POMCP,0.31622776601683794,0.0
POMCP,0.03162277660168379,0.0
POMCPOW,0.03162277660168379,0.0
POMCP,0.01,0.0
POMCP,1.0,93.206534790699
POMCPOW,0.1,0.0
POMCP,0.01,0.0
POMCPOW,0.056234132519034905,0.0
POMCPOW,0.01,0.0
POMCPOW,0.17782794100389226,0.0
POMCPOW,0.01778279410038923,93.206534790699
POMCP,1.0,96.059601
POMCP,0.056234132519034905,0.0
POMCP,0.17782794100389226,94.14801494009998
POMCP,0.31622776601683794,0.0
POMCP,0.1,0.0
POMCPOW,0.056234132519034905,95.09900499
POMCP,1.0,0.0
POMCPOW,0.056234132519034905,0.0
POMCPOW,0.17782794100389226,92.274469442792
POMCPOW,0.5623413251903491,0.0
POMCPOW,0.03162277660168379,96.059601
POMCPOW,0.056234132519034905,0.0
POMCPOW,0.1,93.206534790699
POMCP,0.056234132519034905,0.0
POMCPOW,0.056234132519034905,0.0
POMCP,0.5623413251903491,97.0299
POMCPOW,0.056234132519034905,91.35172474836408
POMCPOW,0.03162277660168379,93.206534790699
POMCPOW,0.31622776601683794,0.0
POMCP,0.31622776601683794,0.0
POMCPOW,0.01778279410038923,90.43820750088042
POMCPOW,0.17782794100389226,94.14801494009998
POMCPOW,0.17782794100389226,90.43820750088042
POMCP,0.01,0.0
POMCPOW,0.5623413251903491,92.274469442792
POMCP,0.01778279410038923,0.0
POMCP,0.056234132519034905,0.0
POMCP,0.31622776601683794,0.0
POMCPOW,0.056234132519034905,0.0
POMCP,0.03162277660168379,0.0
POMCP,0.5623413251903491,87.75210229989679
POMCPOW,0.31622776601683794,89.53382542587163
POMCPOW,0.056234132519034905,89.53382542587163
POMCPOW,0.01,0.0
POMCP,1.0,0.0
POMCP,0.01778279410038923,97.0299
POMCPOW,0.1,0.0
POMCPOW,1.0,94.14801494009998
POMCP,0.03162277660168379,0.0
POMCP,1.0,0.0
POMCPOW,0.31622776601683794,0.0
POMCP,0.1,0.0
POMCP,0.03162277660168379,0.0
POMCP,0.01778279410038923,0.0
POMCPOW,0.1,91.35172474836408
POMCPOW,0.17782794100389226,94.14801494009998
POMCPOW,0.17782794100389226,95.09900499
POMCPOW,0.31622776601683794,93.206534790699
POMCPOW,0.1,0.0
POMCP,0.5623413251903491,94.14801494009998
POMCP,0.17782794100389226,0.0
POMCP,0.5623413251903491,0.0
POMCP,0.01778279410038923,0.0
POMCP,0.17782794100389226,0.0
POMCPOW,1.0,94.14801494009998
POMCP,0.01778279410038923,97.0299
POMCP,0.056234132519034905,0.0
POMCPOW,0.1,0.0
POMCP,0.1,94.14801494009998
POMCPOW,0.5623413251903491,95.09900499
POMCP,1.0,0.0
POMCPOW,0.056234132519034905,0.0
POMCPOW,0.01,92.274469442792
POMCP,1.0,95.09900499
POMCPOW,0.1,89.53382542587163
POMCPOW,0.17782794100389226,94.14801494009998
POMCP,0.1,0.0
POMCPOW,0.03162277660168379,0.0
POMCP,0.03162277660168379,0.0
POMCPOW,0.31622776601683794,94.14801494009998
POMCPOW,0.056234132519034905,0.0
POMCPOW,0.17782794100389226,90.43820750088042
POMCPOW,0.1,90.43820750088042
POMCPOW,0.01778279410038923,0.0
POMCP,0.03162277660168379,0.0
POMCP,0.01,0.0
POMCP,0.17782794100389226,0.0
POMCP,0.31622776601683794,96.059601
POMCPOW,0.056234132519034905,94.14801494009998
POMCPOW,0.056234132519034905,0.0
POMCPOW,0.03162277660168379,0.0
POMCPOW,0.31622776601683794,91.35172474836408
POMCP,0.01778279410038923,89.53382542587163
POMCPOW,0.056234132519034905,90.43820750088042
POMCPOW,1.0,94.14801494009998
POMCP,0.1,0.0
POMCP,0.17782794100389226,94.14801494009998
POMCP,0.056234132519034905,96.059601
POMCP,1.0,93.206534790699
POMCP,0.056234132519034905,94.14801494009998
POMCPOW,0.17782794100389226,92.274469442792
POMCPOW,0.31622776601683794,0.0
POMCPOW,0.01,0.0
POMCPOW,0.01,0.0
POMCPOW,0.056234132519034905,0.0
POMCPOW,0.01778279410038923,94.14801494009998
POMCPOW,1.0,91.35172474836408
POMCPOW,0.31622776601683794,0.0
POMCPOW,0.01,94.14801494009998
POMCPOW,0.31622776601683794,93.206534790699
POMCP,0.5623413251903491,0.0
POMCP,0.01778279410038923,0.0
POMCPOW,0.5623413251903491,95.09900499
POMCP,0.03162277660168379,0.0
POMCP,1.0,0.0
POMCPOW,0.01778279410038923,0.0
POMCP,0.01778279410038923,0.0
POMCPOW,0.31622776601683794,92.274469442792
POMCP,0.01,0.0
POMCP,0.01,0.0
POMCPOW,0.31622776601683794,0.0
POMCPOW,0.03162277660168379,92.274469442792
POMCPOW,0.31622776601683794,0.0
POMCP,0.03162277660168379,0.0
POMCP,0.1,94.14801494009998
POMCP,0.17782794100389226,97.0299
POMCPOW,0.01,0.0
POMCPOW,1.0,90.43820750088042
POMCPOW,0.5623413251903491,93.206534790699
POMCP,0.1,89.53382542587163
POMCP,0.17782794100389226,0.0
POMCP,0.03162277660168379,0.0
POMCPOW,0.03162277660168379,0.0
POMCPOW,1.0,92.274469442792
POMCP,0.01,0.0
POMCP,0.01,0.0
POMCPOW,0.1,92.274469442792
POMCP,0.03162277660168379,0.0
POMCP,0.17782794100389226,0.0
POMCPOW,0.1,94.14801494009998
POMCP,0.1,91.35172474836408
POMCP,0.17782794100389226,94.14801494009998
POMCP,0.03162277660168379,0.0
POMCP,0.01,0.0
POMCPOW,0.31622776601683794,94.14801494009998
POMCPOW,0.056234132519034905,88.63848717161291
POMCPOW,0.1,88.63848717161291
POMCP,0.1,0.0
POMCP,0.01,92.274469442792
POMCPOW,0.31622776601683794,88.63848717161291
POMCP,1.0,0.0
POMCPOW,0.31622776601683794,0.0
POMCP,0.5623413251903491,96.059601
POMCPOW,0.056234132519034905,87.75210229989679
POMCP,0.17782794100389226,0.0
POMCP,0.1,0.0
POMCPOW,0.056234132519034905,0.0
POMCP,0.31622776601683794,0.0
POMCP,0.5623413251903491,95.09900499
POMCPOW,0.056234132519034905,0.0
POMCP,0.5623413251903491,0.0
POMCP,0.01,0.0
POMCP,0.056234132519034905,0.0
POMCP,0.01,0.0
POMCPOW,0.1,0.0
POMCP,0.1,0.0
POMCPOW,0.17782794100389226,0.0
POMCP,0.01,0.0
POMCPOW,0.31622776601683794,91.35172474836408
POMCP,1.0,0.0
POMCP,0.01778279410038923,0.0
POMCP,0.01,0.0
POMCP,0.31622776601683794,95.09900499
POMCPOW,0.01,0.0
POMCP,0.17782794100389226,0.0
POMCPOW,0.01,93.206534790699
POMCP,0.1,96.059601
POMCPOW,0.5623413251903491,89.53382542587163
POMCPOW,0.31622776601683794,93.206534790699
POMCP,0.01,94.14801494009998
POMCPOW,0.03162277660168379,94.14801494009998
POMCP,0.31622776601683794,0.0
POMCPOW,0.01,87.75210229989679
POMCPOW,0.17782794100389226,0.0
POMCPOW,0.17782794100389226,92.274469442792
POMCP,0.03162277660168379,0.0
POMCPOW,0.1,95.09900499
POMCPOW,0.17782794100389226,91.35172474836408
POMCP,0.056234132519034905,0.0
POMCP,0.03162277660168379,92.274469442792
POMCP,1.0,0.0
POMCPOW,0.31622776601683794,0.0
POMCP,0.1,0.0
POMCP,0.17782794100389226,89.53382542587163
POMCPOW,0.01778279410038923,0.0
POMCPOW,0.5623413251903491,92.274469442792
POMCP,1.0,0.0
POMCPOW,0.01778279410038923,0.0
POMCP,0.5623413251903491,0.0
POMCPOW,0.03162277660168379,0.0
POMCP,0.1,0.0
POMCP,0.056234132519034905,0.0
POMCP,0.17782794100389226,92.274469442792
POMCP,0.03162277660168379,93.206534790699
POMCP,0.01778279410038923,96.059601
POMCPOW,0.056234132519034905,0.0
POMCP,0.31622776601683794,0.0
POMCP,0.03162277660168379,0.0
POMCP,0.03162277660168379,92.274469442792
POMCPOW,0.03162277660168379,94.14801494009998
POMCPOW,0.03162277660168379,0.0
POMCP,0.01,0.0
POMCPOW,0.03162277660168379,89.53382542587163
POMCPOW,0.31622776601683794,0.0
POMCP,0.1,95.09900499
POMCPOW,0.5623413251903491,90.43820750088042
POMCPOW,0.03162277660168379,95.09900499
POMCP,0.31622776601683794,0.0
POMCP,0.1,0.0
POMCPOW,0.03162277660168379,0.0
POMCP,0.03162277660168379,0.0
POMCPOW,0.01778279410038923,91.35172474836408
POMCP,1.0,0.0
POMCP,0.01,0.0
POMCP,0.01778279410038923,96.059601
POMCPOW,0.1,0.0
POMCP,0.17782794100389226,0.0
POMCPOW,0.5623413251903491,95.09900499
POMCP,0.1,0.0
POMCPOW,1.0,90.43820750088042
POMCP,0.1,0.0
POMCPOW,0.1,89.53382542587163
POMCPOW,0.01778279410038923,93.206534790699
POMCPOW,0.03162277660168379,92.274469442792
POMCPOW,0.01778279410038923,91.35172474836408
POMCP,0.31622776601683794,0.0
POMCP,1.0,88.63848717161291
POMCP,0.5623413251903491,96.059601
POMCPOW,0.5623413251903491,94.14801494009998
POMCPOW,0.01,89.53382542587163
POMCP,0.31622776601683794,92.274469442792
POMCPOW,0.03162277660168379,94.14801494009998
POMCP,0.31622776601683794,94.14801494009998
POMCPOW,0.17782794100389226,0.0
POMCPOW,0.5623413251903491,93.206534790699
POMCP,0.01,96.059601
POMCP,0.1,94.14801494009998
POMCP,0.056234132519034905,92.274469442792
POMCP,1.0,0.0
POMCPOW,0.01778279410038923,0.0
POMCPOW,0.056234132519034905,0.0
POMCP,0.5623413251903491,98.00999999999999
POMCPOW,0.17782794100389226,93.206534790699
POMCP,0.056234132519034905,93.206534790699
POMCP,0.17782794100389226,0.0
POMCP,0.03162277660168379,0.0
POMCP,1.0,0.0
POMCPOW,0.03162277660168379,95.09900499
POMCP,1.0,94.14801494009998
POMCP,0.01,0.0
POMCP,0.01778279410038923,91.35172474836408
POMCPOW,0.1,93.206534790699
POMCPOW,0.17782794100389226,92.274469442792
POMCP,1.0,98.00999999999999
POMCP,0.056234132519034905,0.0
POMCPOW,0.01778279410038923,89.53382542587163
POMCPOW,0.03162277660168379,0.0
POMCP,0.056234132519034905,0.0
POMCPOW,0.17782794100389226,0.0
POMCPOW,0.01778279410038923,0.0
POMCPOW,0.056234132519034905,94.14801494009998
POMCPOW,0.056234132519034905,0.0
POMCPOW,0.03162277660168379,0.0
POMCP,0.03162277660168379,0.0
POMCP,0.01,0.0
POMCP,0.056234132519034905,92.274469442792
POMCPOW,0.1,89.53382542587163
POMCPOW,0.01778279410038923,0.0
POMCP,0.1,0.0
POMCP,0.31622776601683794,96.059601
POMCPOW,0.01778279410038923,90.43820750088042
POMCPOW,0.056234132519034905,0.0
POMCPOW,1.0,92.274469442792
POMCPOW,1.0,92.274469442792
POMCPOW,0.03162277660168379,94.14801494009998
POMCP,0.03162277660168379,89.53382542587163
POMCPOW,0.17782794100389226,0.0
POMCP,0.01778279410038923,0.0
POMCPOW,0.01,0.0
POMCPOW,1.0,91.35172474836408
POMCPOW,0.5623413251903491,88.63848717161291
POMCP,0.01778279410038923,0.0
POMCP,1.0,0.0
POMCP,0.1,0.0
POMCPOW,0.31622776601683794,87.75210229989679
POMCPOW,0.1,94.14801494009998
POMCP,0.03162277660168379,0.0
POMCPOW,1.0,93.206534790699
POMCPOW,0.01,89.53382542587163
POMCPOW,0.03162277660168379,0.0
POMCPOW,0.01,0.0
POMCP,0.31622776601683794,94.14801494009998
POMCP,0.03162277660168379,0.0
POMCP,0.056234132519034905,94.14801494009998
POMCP,0.1,0.0
POMCPOW,0.01778279410038923,0.0
POMCPOW,0.17782794100389226,95.09900499
POMCP,0.1,0.0
POMCP,0.01778279410038923,96.059601
POMCPOW,0.01,0.0
POMCP,0.03162277660168379,94.14801494009998
POMCP,0.01,0.0
POMCPOW,0.17782794100389226,92.274469442792
POMCP,1.0,0.0
POMCPOW,1.0,0.0
POMCP,0.01778279410038923,96.059601
POMCP,0.31622776601683794,96.059601
POMCPOW,0.01778279410038923,93.206534790699
POMCP,0.056234132519034905,0.0
POMCPOW,0.5623413251903491,94.14801494009998
POMCP,0.03162277660168379,94.14801494009998
POMCPOW,0.03162277660168379,89.53382542587163
POMCP,0.056234132519034905,0.0
POMCPOW,0.17782794100389226,92.274469442792
POMCP,0.5623413251903491,0.0
POMCPOW,0.01778279410038923,0.0
POMCP,0.056234132519034905,0.0
POMCP,0.5623413251903491,0.0
POMCP,0.5623413251903491,87.75210229989679
POMCPOW,0.5623413251903491,0.0
POMCPOW,1.0,88.63848717161291
POMCP,0.5623413251903491,0.0
POMCP,1.0,98.00999999999999
POMCPOW,0.31622776601683794,0.0
POMCP,1.0,0.0
POMCP,0.01778279410038923,0.0
POMCPOW,0.056234132519034905,0.0
POMCPOW,0.17782794100389226,93.206534790699
POMCPOW,0.5623413251903491,94.14801494009998
POMCP,0.31622776601683794,0.0
POMCPOW,0.03162277660168379,0.0
POMCP,0.01,98.00999999999999
POMCP,0.056234132519034905,0.0
POMCPOW,0.056234132519034905,0.0
POMCP,0.1,95.09900499
POMCP,0.31622776601683794,93.206534790699
POMCP,0.5623413251903491,0.0
POMCP,0.03162277660168379,0.0
POMCPOW,0.03162277660168379,0.0
POMCP,0.31622776601683794,0.0
POMCP,0.01,0.0
POMCP,0.17782794100389226,0.0
POMCPOW,0.5623413251903491,92.274469442792
POMCPOW,0.31622776601683794,89.53382542587163
POMCP,0.056234132519034905,95.09900499
POMCP,1.0,0.0
POMCPOW,0.31622776601683794,0.0
POMCP,0.31622776601683794,0.0
POMCPOW,0.056234132519034905,88.63848717161291
POMCP,0.5623413251903491,97.0299
POMCP,0.5623413251903491,0.0
POMCPOW,0.1,94.14801494009998
POMCPOW,0.1,93.206534790699
POMCP,1.0,0.0
POMCPOW,0.1,88.63848717161291
POMCPOW,0.056234132519034905,94.14801494009998
POMCP,0.31622776601683794,95.09900499
POMCP,0.056234132519034905,0.0
POMCPOW,0.1,89.53382542587163
POMCP,0.17782794100389226,0.0
POMCP,0.03162277660168379,96.059601
POMCPOW,0.01,0.0
POMCPOW,0.056234132519034905,0.0
POMCP,0.01778279410038923,0.0
POMCPOW,0.01778279410038923,90.43820750088042
POMCPOW,0.31622776601683794,0.0
POMCPOW,0.17782794100389226,91.35172474836408
POMCPOW,1.0,0.0
POMCPOW,0.01,0.0
POMCP,1.0,0.0
POMCPOW,1.0,92.274469442792
POMCP,0.1,0.0
POMCP,1.0,96.059601
POMCPOW,0.17782794100389226,88.63848717161291
POMCPOW,0.5623413251903491,94.14801494009998
POMCPOW,0.1,89.53382542587163
POMCP,0.1,0.0
POMCP,0.01778279410038923,0.0
POMCP,0.01,0.0
POMCP,0.5623413251903491,0.0
POMCP,0.056234132519034905,92.274469442792
POMCPOW,0.03162277660168379,0.0
POMCPOW,1.0,93.206534790699
POMCPOW,1.0,96.059601
POMCP,0.03162277660168379,0.0
POMCP,0.5623413251903491,0.0
POMCP,0.056234132519034905,0.0
POMCPOW,0.01,89.53382542587163
POMCPOW,1.0,94.14801494009998
POMCPOW,0.5623413251903491,91.35172474836408
POMCPOW,0.056234132519034905,91.35172474836408
POMCPOW,0.03162277660168379,88.63848717161291
POMCP,0.1,0.0
POMCP,0.056234132519034905,0.0
POMCPOW,0.056234132519034905,91.35172474836408
POMCP,0.5623413251903491,0.0
POMCPOW,0.1,0.0
POMCPOW,0.31622776601683794,87.75210229989679
POMCP,0.056234132519034905,0.0
POMCP,0.01,0.0
POMCPOW,0.01,0.0
POMCP,0.01,92.274469442792
POMCPOW,0.01778279410038923,0.0
POMCP,0.1,0.0
POMCP,0.31622776601683794,0.0
POMCP,0.03162277660168379,0.0
POMCPOW,1.0,0.0
POMCP,0.17782794100389226,0.0
POMCPOW,0.01,0.0
POMCP,0.17782794100389226,93.206534790699
POMCPOW,0.31622776601683794,0.0
POMCPOW,0.056234132519034905,94.14801494009998
POMCPOW,0.01778279410038923,94.14801494009998
POMCPOW,0.03162277660168379,0.0
POMCP,1.0,0.0
POMCP,0.17782794100389226,92.274469442792
POMCPOW,0.056234132519034905,89.53382542587163
POMCP,0.01778279410038923,0.0
POMCPOW,0.31622776601683794,92.274469442792
POMCP,0.056234132519034905,0.0
POMCP,0.03162277660168379,96.059601
POMCPOW,0.03162277660168379,0.0
POMCPOW,0.056234132519034905,88.63848717161291
POMCP,0.01778279410038923,93.206534790699
POMCP,0.5623413251903491,0.0
POMCP,0.03162277660168379,0.0
POMCP,0.03162277660168379,0.0
POMCPOW,0.01,0.0
POMCP,0.1,90.43820750088042
POMCP,0.03162277660168379,93.206534790699
POMCP,0.03162277660168379,0.0
POMCPOW,0.01778279410038923,0.0
POMCPOW,0.03162277660168379,0.0
POMCPOW,0.1,94.14801494009998
POMCP,0.1,0.0
POMCPOW,0.01,0.0
POMCPOW,0.1,89.53382542587163
POMCPOW,0.056234132519034905,92.274469442792
POMCPOW,0.31622776601683794,94.14801494009998
POMCP,0.03162277660168379,97.0299
POMCPOW,0.5623413251903491,87.75210229989679
POMCP,0.5623413251903491,90.43820750088042
POMCPOW,0.01,0.0
POMCPOW,1.0,92.274469442792
POMCP,0.17782794100389226,0.0
POMCP,1.0,92.274469442792
POMCPOW,0.056234132519034905,0.0
POMCP,0.01,91.35172474836408
POMCP,0.17782794100389226,0.0
POMCPOW,0.5623413251903491,93.206534790699
POMCPOW,0.01778279410038923,92.274469442792
POMCPOW,0.31622776601683794,90.43820750088042
